title,year,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
mystic river,2003,clint eastwood,etatsunis,8220,drame,37679.0,310512,254881.0,3,1166008,320,4.7,4.2,"[""Tim Robbins"", ""Kevin Bacon"", ""Laurence Fishburne"", ""Kevin Chapman""]",30000000.0,"[""anglais""]",108987.0,5.0
lamour extra large,2001,peter farrelly,etatsunis,6840,comedie,25342.0,171835,145871.0,7,582616,275,,,,158600000.0,,,
a laube du sixieme jour,2000,roger spottiswoode,etatsunis,7440,science fiction,40676.0,312394,191033.8,3,800749,496,,,,28600000.0,,,
dragon lhistoire de bruce lee,1993,rob cohen,etatsunis,7260,aventure action,120128.8,255810,735136.6,6,560824,202,-1.0,3.2,"[""Jason Scott Lee"", ""Lauren Holly"", ""Robert Wagner"", ""Michael Learned""]",14000000.0,"[""cantonais"", ""anglais""]",-1.0,0.0
leon,1994,luc besson,france,6180,aventure action,76704.29752953813,792836,378094.05652680655,1,3546077,255,2.0,4.3,"[""Jean Reno"", ""Gary Oldman"", ""Natalie Portman"", ""Danny Aiello""]",224575553.58251366,"[""anglais""]",82525.0,0.0
lenfer du devoir,2000,william friedkin,etatsunis,7620,aventure action,95435.0,66707,316817.8,7,100984,232,2.4,2.7,"[""Tommy Lee Jones"", ""Samuel L. Jackson"", ""Blair Underwood"", ""Bruce Greenwood""]",60000000.0,"[""anglais""]",-1.0,0.0
slumdog millionaire,2008,danny boyle,grandebretagne,7200,comedie dramatique,19571.0,208398,170782.0,4,2700935,126,,,,51600000.0,,,
hatchi,2009,lasse hallstrom,etatsunis,5580,drame,14082.0,95198,76713.0,6,181548,197,,,,101000000.0,,,
88 minutes,2007,jon avnet,etatsunis,6600,thriller,21566.0,135889,111929.0,4,336564,194,1.7,2.0,"[""Al Pacino"", ""Alicia Witt"", ""Leelee Sobieski"", ""Neal McDonough""]",30000000.0,"[""anglais""]",116796.0,0.0
mission impossible dead reckoning partie 1,2023,christopher mcquarrie,etatsunis,9780,aventure action,234681.0,930141,773198.0,1,2617032,785,4.0,4.1,"[""Tom Cruise"", ""Hayley Atwell"", ""Ving Rhames"", ""Simon Pegg""]",93400000.0,"[""anglais""]",159673.0,0.0
the hours,2002,stephen daldry,etatsunis,6840,drame,26355.0,190274,140944.0,3,995863,186,,,,26600000.0,,,
in out,1997,frank oz,etatsunis,5400,comedie,58188.0,387470,350250.8,4,1221231,221,,,,29236000.0,,,
tanguy,2001,etienne chatiliez,france,6480,comedie,93103.0,883961,718313.0,1,4310477,550,3.7,2.7,"[""Eric Berger"", ""André Dussollier"", ""Sabine Azéma"", ""Aurore Clément""]",1674000000.0,"[""francais"", ""japonais"", ""mandarin""]",100397.0,0.0
xxx,2002,rob cohen,etatsunis,7440,aventure action,93515.0,535418,469936.0,2,1295657,626,3.4,2.3,"[""Vin Diesel"", ""Samuel L. Jackson"", ""Asia Argento"", ""Marton Csokas""]",70000000.0,"[""tcheque"", ""anglais"", ""allemand"", ""russe"", ""espagnol""]",106048.0,0.0
une histoire de fou,2015,robert guediguian,france,8040,drame,11328.0,45383,38281.0,16,85740,158,3.5,3.5,"[""Simon Abkarian"", ""Ariane Ascaride"", ""Grégoire Leprince-Ringuet"", ""Syrus Shahidi""]",12260000.0,"[""armenien"", ""francais"", ""allemand""]",132231.0,0.0
le derriere,1999,valerie lemercier,france,6120,comedie,45014.0,280460,237092.0,1,872747,352,3.5,2.6,"[""Valérie Lemercier"", ""Claude Rich"", ""Dieudonné"", ""Marthe Keller""]",48820000.0,"[""francais""]",-1.0,0.0
the boxer,1997,jim sheridan,etatsunis,6780,drame,76704.29752953813,73547,378094.05652680655,11,166996,136,,,,224575553.58251366,,,
goodbye lover,1999,roland joffe,etatsunis,6120,drame,76704.29752953813,29868,378094.05652680655,9,59508,80,3.0,2.5,"[""Patricia Arquette"", ""Ellen DeGeneres"", ""Dermot Mulroney"", ""Don Johnson""]",224575553.58251366,"[""anglais""]",-1.0,0.0
le prince degypte,1998,simon wells,etatsunis,5940,animation,126120.0,998779,648991.0,2,3941989,690,-1.0,2.4,[],138000000.0,"[""allemand""]",-1.0,0.0
